age,triangle,sex,region,time,count
66,Lower,Female,Avannaata kommunia,2011,0
66,Upper,Female,Avannaata kommunia,2011,1
67,Lower,Female,Avannaata kommunia,2011,0
67,Upper,Female,Avannaata kommunia,2011,0
68,Lower,Female,Avannaata kommunia,2011,1
68,Upper,Female,Avannaata kommunia,2011,0
69,Lower,Female,Avannaata kommunia,2011,0
69,Upper,Female,Avannaata kommunia,2011,0
70,Lower,Female,Avannaata kommunia,2011,0
70,Upper,Female,Avannaata kommunia,2011,0
71,Lower,Female,Avannaata kommunia,2011,0
71,Upper,Female,Avannaata kommunia,2011,0
72,Lower,Female,Avannaata kommunia,2011,0
72,Upper,Female,Avannaata kommunia,2011,0
73,Lower,Female,Avannaata kommunia,2011,0
73,Upper,Female,Avannaata kommunia,2011,0
74,Lower,Female,Avannaata kommunia,2011,0
74,Upper,Female,Avannaata kommunia,2011,0
75,Lower,Female,Avannaata kommunia,2011,0
75,Upper,Female,Avannaata kommunia,2011,0
76,Lower,Female,Avannaata kommunia,2011,0
76,Upper,Female,Avannaata kommunia,2011,0
77,Lower,Female,Avannaata kommunia,2011,0
77,Upper,Female,Avannaata kommunia,2011,0
78,Lower,Female,Avannaata kommunia,2011,0
78,Upper,Female,Avannaata kommunia,2011,0
79,Lower,Female,Avannaata kommunia,2011,0
79,Upper,Female,Avannaata kommunia,2011,0
80,Lower,Female,Avannaata kommunia,2011,0
80,Upper,Female,Avannaata kommunia,2011,0
81,Lower,Female,Avannaata kommunia,2011,0
81,Upper,Female,Avannaata kommunia,2011,0
82,Lower,Female,Avannaata kommunia,2011,0
82,Upper,Female,Avannaata kommunia,2011,0
83,Lower,Female,Avannaata kommunia,2011,0
83,Upper,Female,Avannaata kommunia,2011,0
84,Lower,Female,Avannaata kommunia,2011,0
84,Upper,Female,Avannaata kommunia,2011,0
85,Lower,Female,Avannaata kommunia,2011,0
85,Upper,Female,Avannaata kommunia,2011,0
86,Lower,Female,Avannaata kommunia,2011,0
86,Upper,Female,Avannaata kommunia,2011,0
87,Lower,Female,Avannaata kommunia,2011,0
87,Upper,Female,Avannaata kommunia,2011,0
88,Lower,Female,Avannaata kommunia,2011,0
88,Upper,Female,Avannaata kommunia,2011,0
89,Lower,Female,Avannaata kommunia,2011,0
89,Upper,Female,Avannaata kommunia,2011,0
90,Lower,Female,Avannaata kommunia,2011,0
90,Upper,Female,Avannaata kommunia,2011,0
91,Lower,Female,Avannaata kommunia,2011,0
91,Upper,Female,Avannaata kommunia,2011,0
92,Lower,Female,Avannaata kommunia,2011,0
92,Upper,Female,Avannaata kommunia,2011,0
93,Lower,Female,Avannaata kommunia,2011,0
93,Upper,Female,Avannaata kommunia,2011,0
94,Lower,Female,Avannaata kommunia,2011,0
94,Upper,Female,Avannaata kommunia,2011,0
95,Lower,Female,Avannaata kommunia,2011,0
95,Upper,Female,Avannaata kommunia,2011,0
96,Lower,Female,Avannaata kommunia,2011,0
96,Upper,Female,Avannaata kommunia,2011,0
97,Lower,Female,Avannaata kommunia,2011,0
97,Upper,Female,Avannaata kommunia,2011,0
98,Lower,Female,Avannaata kommunia,2011,0
