age,triangle,sex,region,time,count
53,Upper,Female,d. Avannaata kommunia,2011,1
54,Lower,Female,d. Avannaata kommunia,2011,0
54,Upper,Female,d. Avannaata kommunia,2011,0
55,Lower,Female,d. Avannaata kommunia,2011,0
55,Upper,Female,d. Avannaata kommunia,2011,0
56,Lower,Female,d. Avannaata kommunia,2011,1
56,Upper,Female,d. Avannaata kommunia,2011,0
57,Lower,Female,d. Avannaata kommunia,2011,0
57,Upper,Female,d. Avannaata kommunia,2011,0
58,Lower,Female,d. Avannaata kommunia,2011,1
58,Upper,Female,d. Avannaata kommunia,2011,0
59,Lower,Female,d. Avannaata kommunia,2011,0
59,Upper,Female,d. Avannaata kommunia,2011,1
60,Lower,Female,d. Avannaata kommunia,2011,0
60,Upper,Female,d. Avannaata kommunia,2011,0
61,Lower,Female,d. Avannaata kommunia,2011,0
61,Upper,Female,d. Avannaata kommunia,2011,1
62,Lower,Female,d. Avannaata kommunia,2011,1
62,Upper,Female,d. Avannaata kommunia,2011,0
63,Lower,Female,d. Avannaata kommunia,2011,1
63,Upper,Female,d. Avannaata kommunia,2011,0
64,Lower,Female,d. Avannaata kommunia,2011,0
64,Upper,Female,d. Avannaata kommunia,2011,1
65,Lower,Female,d. Avannaata kommunia,2011,1
65,Upper,Female,d. Avannaata kommunia,2011,0
66,Lower,Female,d. Avannaata kommunia,2011,0
66,Upper,Female,d. Avannaata kommunia,2011,1
67,Lower,Female,d. Avannaata kommunia,2011,1
67,Upper,Female,d. Avannaata kommunia,2011,0
68,Lower,Female,d. Avannaata kommunia,2011,0
68,Upper,Female,d. Avannaata kommunia,2011,0
69,Lower,Female,d. Avannaata kommunia,2011,0
69,Upper,Female,d. Avannaata kommunia,2011,0
70,Lower,Female,d. Avannaata kommunia,2011,0
70,Upper,Female,d. Avannaata kommunia,2011,1
71,Lower,Female,d. Avannaata kommunia,2011,0
71,Upper,Female,d. Avannaata kommunia,2011,0
72,Lower,Female,d. Avannaata kommunia,2011,1
72,Upper,Female,d. Avannaata kommunia,2011,0
73,Lower,Female,d. Avannaata kommunia,2011,2
73,Upper,Female,d. Avannaata kommunia,2011,1
74,Lower,Female,d. Avannaata kommunia,2011,1
74,Upper,Female,d. Avannaata kommunia,2011,2
75,Lower,Female,d. Avannaata kommunia,2011,0
75,Upper,Female,d. Avannaata kommunia,2011,1
76,Lower,Female,d. Avannaata kommunia,2011,1
76,Upper,Female,d. Avannaata kommunia,2011,1
77,Lower,Female,d. Avannaata kommunia,2011,0
77,Upper,Female,d. Avannaata kommunia,2011,1
78,Lower,Female,d. Avannaata kommunia,2011,2
78,Upper,Female,d. Avannaata kommunia,2011,0
79,Lower,Female,d. Avannaata kommunia,2011,0
79,Upper,Female,d. Avannaata kommunia,2011,1
80,Lower,Female,d. Avannaata kommunia,2011,2
80,Upper,Female,d. Avannaata kommunia,2011,1
81,Lower,Female,d. Avannaata kommunia,2011,2
81,Upper,Female,d. Avannaata kommunia,2011,0
82,Lower,Female,d. Avannaata kommunia,2011,1
82,Upper,Female,d. Avannaata kommunia,2011,0
83,Lower,Female,d. Avannaata kommunia,2011,1
83,Upper,Female,d. Avannaata kommunia,2011,0
84,Lower,Female,d. Avannaata kommunia,2011,0
84,Upper,Female,d. Avannaata kommunia,2011,1
85,Lower,Female,d. Avannaata kommunia,2011,0
85,Upper,Female,d. Avannaata kommunia,2011,0
86,Lower,Female,d. Avannaata kommunia,2011,1
86,Upper,Female,d. Avannaata kommunia,2011,0
87,Lower,Female,d. Avannaata kommunia,2011,0
87,Upper,Female,d. Avannaata kommunia,2011,0
88,Lower,Female,d. Avannaata kommunia,2011,0
88,Upper,Female,d. Avannaata kommunia,2011,0
89,Lower,Female,d. Avannaata kommunia,2011,0
89,Upper,Female,d. Avannaata kommunia,2011,0
90,Lower,Female,d. Avannaata kommunia,2011,0
90,Upper,Female,d. Avannaata kommunia,2011,0
91,Lower,Female,d. Avannaata kommunia,2011,0
91,Upper,Female,d. Avannaata kommunia,2011,1
92,Lower,Female,d. Avannaata kommunia,2011,0
92,Upper,Female,d. Avannaata kommunia,2011,0
