age,triangle,sex,region,time,direction,count
49,Upper,Female,d. Avannaata kommunia,2011,In,2
50,Lower,Female,d. Avannaata kommunia,2011,In,3
50,Upper,Female,d. Avannaata kommunia,2011,In,2
51,Lower,Female,d. Avannaata kommunia,2011,In,1
51,Upper,Female,d. Avannaata kommunia,2011,In,1
52,Lower,Female,d. Avannaata kommunia,2011,In,2
52,Upper,Female,d. Avannaata kommunia,2011,In,0
53,Lower,Female,d. Avannaata kommunia,2011,In,2
53,Upper,Female,d. Avannaata kommunia,2011,In,2
54,Lower,Female,d. Avannaata kommunia,2011,In,3
54,Upper,Female,d. Avannaata kommunia,2011,In,2
55,Lower,Female,d. Avannaata kommunia,2011,In,3
55,Upper,Female,d. Avannaata kommunia,2011,In,3
56,Lower,Female,d. Avannaata kommunia,2011,In,0
56,Upper,Female,d. Avannaata kommunia,2011,In,0
57,Lower,Female,d. Avannaata kommunia,2011,In,1
57,Upper,Female,d. Avannaata kommunia,2011,In,2
58,Lower,Female,d. Avannaata kommunia,2011,In,1
58,Upper,Female,d. Avannaata kommunia,2011,In,1
59,Lower,Female,d. Avannaata kommunia,2011,In,0
59,Upper,Female,d. Avannaata kommunia,2011,In,0
60,Lower,Female,d. Avannaata kommunia,2011,In,0
60,Upper,Female,d. Avannaata kommunia,2011,In,2
61,Lower,Female,d. Avannaata kommunia,2011,In,0
61,Upper,Female,d. Avannaata kommunia,2011,In,0
62,Lower,Female,d. Avannaata kommunia,2011,In,0
62,Upper,Female,d. Avannaata kommunia,2011,In,0
63,Lower,Female,d. Avannaata kommunia,2011,In,0
63,Upper,Female,d. Avannaata kommunia,2011,In,0
64,Lower,Female,d. Avannaata kommunia,2011,In,0
64,Upper,Female,d. Avannaata kommunia,2011,In,1
65,Lower,Female,d. Avannaata kommunia,2011,In,0
65,Upper,Female,d. Avannaata kommunia,2011,In,0
66,Lower,Female,d. Avannaata kommunia,2011,In,0
66,Upper,Female,d. Avannaata kommunia,2011,In,2
67,Lower,Female,d. Avannaata kommunia,2011,In,0
67,Upper,Female,d. Avannaata kommunia,2011,In,0
68,Lower,Female,d. Avannaata kommunia,2011,In,0
68,Upper,Female,d. Avannaata kommunia,2011,In,0
69,Lower,Female,d. Avannaata kommunia,2011,In,0
69,Upper,Female,d. Avannaata kommunia,2011,In,1
70,Lower,Female,d. Avannaata kommunia,2011,In,0
70,Upper,Female,d. Avannaata kommunia,2011,In,0
71,Lower,Female,d. Avannaata kommunia,2011,In,1
71,Upper,Female,d. Avannaata kommunia,2011,In,0
72,Lower,Female,d. Avannaata kommunia,2011,In,0
72,Upper,Female,d. Avannaata kommunia,2011,In,0
73,Lower,Female,d. Avannaata kommunia,2011,In,0
73,Upper,Female,d. Avannaata kommunia,2011,In,0
74,Lower,Female,d. Avannaata kommunia,2011,In,0
74,Upper,Female,d. Avannaata kommunia,2011,In,0
75,Lower,Female,d. Avannaata kommunia,2011,In,0
75,Upper,Female,d. Avannaata kommunia,2011,In,0
76,Lower,Female,d. Avannaata kommunia,2011,In,0
76,Upper,Female,d. Avannaata kommunia,2011,In,0
77,Lower,Female,d. Avannaata kommunia,2011,In,0
77,Upper,Female,d. Avannaata kommunia,2011,In,0
78,Lower,Female,d. Avannaata kommunia,2011,In,0
78,Upper,Female,d. Avannaata kommunia,2011,In,0
79,Lower,Female,d. Avannaata kommunia,2011,In,0
79,Upper,Female,d. Avannaata kommunia,2011,In,0
80,Lower,Female,d. Avannaata kommunia,2011,In,0
80,Upper,Female,d. Avannaata kommunia,2011,In,0
81,Lower,Female,d. Avannaata kommunia,2011,In,1
81,Upper,Female,d. Avannaata kommunia,2011,In,0
82,Lower,Female,d. Avannaata kommunia,2011,In,0
